Visitors,Revenue,Country,Category
619755,878980.87,Brazil,Historical
3557,654614.23,USA,Urban
587261,659719.85,Brazil,Historical
287965,339301.35,USA,Historical
685271,418706.57,France,Historical
605216,71911.64,Australia,Beach
697237,771740.75,USA,Adventure
116430,90906.13,China,Beach
523126,410214.21,USA,Adventure
929191,693545.83,China,Urban
971124,60166.41,Egypt,Cultural
519911,738577.57,Brazil,Adventure
375637,740650.1,Egypt,Beach
777608,179311.27,India,Adventure
948472,587060.98,Egypt,Adventure
834320,928727.04,China,Adventure
209340,243878.61,USA,Urban
671126,884922.05,France,Nature
589429,24908.32,Australia,Beach
463928,432590.06,USA,Adventure
995689,794812.48,China,Cultural
598971,221567.21,India,Beach
910609,749939.16,Brazil,Adventure
269702,44145.09,USA,Urban
909918,359815.48,China,Beach
843204,845030.73,Brazil,Adventure
815605,855184.74,Brazil,Cultural
7030,758543.33,India,Historical
211680,95607.25,Brazil,Urban
211850,580041.81,Brazil,Beach
417531,463228.99,France,Cultural
740854,512280.09,Brazil,Urban
669047,139490.77,Brazil,Historical
998976,509279.84,Australia,Historical
154090,596608.85,Brazil,Cultural
540686,241196.74,Brazil,Adventure
570123,563018.14,Brazil,Cultural
381959,465966.92,India,Urban
743169,329182.92,Egypt,Historical
634046,662367.72,Egypt,Urban
134242,22930.45,Egypt,Cultural
821997,631669.35,Australia,Historical
440152,87226.4,USA,Nature
309784,449596.33,Egypt,Urban
952889,882141.25,USA,Cultural
652217,288718.57,China,Beach
71845,933922.14,Egypt,Adventure
497104,826718.67,USA,Historical
274810,354888.72,Brazil,Cultural
798727,188857.71,Brazil,Adventure
623205,611010.99,India,Adventure
740720,806809.48,Australia,Nature
355354,73735.34,Egypt,Urban
762738,935936.52,USA,Urban
28942,493788.07,Brazil,Cultural
706392,487613.99,Brazil,Historical
95710,892770.47,USA,Beach
899732,102737.67,Egypt,Nature
387082,826392.78,Brazil,Historical
687152,776678.91,France,Adventure
339060,917384.92,China,Beach
150273,4490.1,China,Urban
26341,83528.91,USA,Cultural
903012,249061.44,Brazil,Historical
96577,338056.44,USA,Historical
191685,778345.24,India,Urban
441205,985896.3,USA,Nature
55118,352769.67,India,Historical
801600,457956.9,India,Adventure
982548,232124.61,USA,Urban
528147,446061.98,China,Historical
352240,364572.27,Australia,Beach
695053,337196.01,Egypt,Adventure
125616,943243.45,Brazil,Cultural
531843,703874.88,USA,Beach
991834,899701.46,Egypt,Cultural
173382,203034.47,USA,Beach
739791,170365.65,India,Historical
569490,699628.4,China,Urban
408765,531008.17,China,Urban
217824,716215.28,China,Beach
39577,550646.54,India,Nature
904040,778143.17,France,Urban
562287,400904.42,China,Historical
884454,250674.99,India,Beach
446371,234814.6,France,Adventure
762961,794730.52,France,Beach
702091,726658.95,France,Historical
379142,201250.16,Brazil,Cultural
177134,340263.07,Brazil,Historical
989938,184204.64,India,Adventure
134086,182599.77,Australia,Historical
102717,402253.01,Australia,Urban
479629,316232.99,Egypt,Cultural
431785,180735.99,Egypt,Urban
18519,174960.21,Brazil,Beach
292888,367666.02,USA,Urban
555646,230733.4,Australia,Nature
575195,556653.94,Egypt,Urban
235580,921992.2,Brazil,Nature
439423,671970.91,India,Beach
435387,904460.87,France,Adventure
951610,621911.3,Egypt,Urban
377739,774006.22,Brazil,Nature
255444,82993.3,China,Adventure
390384,570888.88,Egypt,Nature
25520,475869.31,China,Adventure
465367,952137.63,Australia,Cultural
878338,154036.28,France,Nature
982495,951079.18,France,Adventure
652692,539140.36,USA,Historical
869239,22260.42,Australia,Beach
49456,432965.28,Egypt,Urban
444084,734621.68,Australia,Cultural
378552,578389.96,France,Beach
484204,679823.04,China,Nature
22749,201950.84,USA,Nature
359170,760516.69,China,Historical
509677,51139.64,Australia,Nature
210122,815783.85,Brazil,Cultural
234246,210913.41,India,Cultural
18712,472141.79,Australia,Cultural
721826,438171.15,France,Adventure
122991,8963.95,India,Nature
553755,100716.19,France,Adventure
612444,954240.76,Brazil,Urban
43267,614881.47,Egypt,Cultural
133555,433378.33,Australia,Beach
542812,215720.63,France,Adventure
925108,25120.44,India,Beach
861455,953610.2,Egypt,Historical
111449,8085.96,China,Beach
363345,146879.55,USA,Beach
374328,103520.04,India,Urban
556911,498515.51,Brazil,Urban
917214,266303.55,Brazil,Adventure
864923,108630.53,Australia,Beach
494459,444775.17,France,Urban
881164,440964.44,USA,Beach
304538,831432.87,Australia,Beach
787170,611162.52,Egypt,Urban
614194,329183.27,Egypt,Adventure
541885,458080.86,Egypt,Beach
870421,549314.81,Australia,Adventure
517952,840447.22,Brazil,Adventure
684320,761459.03,USA,Historical
293644,979853.38,Brazil,Nature
157782,51393.97,USA,Nature
117823,873034.66,Australia,Historical
156438,918904.57,India,Urban
97969,270164.27,China,Adventure
632247,402325.8,China,Historical
530352,90112.2,Egypt,Urban
955332,321127.18,China,Nature
865013,310262.71,Australia,Beach
648698,445639.58,Brazil,Historical
733794,816160.24,France,Adventure
618907,15819.25,France,Urban
535120,692560.8,Brazil,Cultural
930005,11504.81,Australia,Cultural
423544,403547.79,USA,Nature
8778,839081.71,Brazil,Adventure
757450,729953.92,USA,Historical
627818,915520.83,USA,Cultural
588940,853910.56,Egypt,Cultural
340872,544563.99,India,Cultural
712275,166108.53,India,Cultural
188680,475603.49,France,Historical
725623,732653.47,France,Urban
308938,555506.97,India,Cultural
736830,289284.35,India,Adventure
635049,979353.58,Australia,Beach
707595,51637.88,Egypt,Beach
521123,956558.97,Australia,Urban
836859,3811.54,China,Nature
90653,471565.44,Australia,Cultural
86355,987607.68,USA,Adventure
981756,492954.15,China,Historical
741728,141147.38,India,Adventure
544777,186170.44,France,Adventure
822712,113927.18,India,Urban
563079,886916.65,Egypt,Beach
55256,714579.82,France,Urban
294765,931647.2,USA,Urban
507423,975860.67,Australia,Historical
141857,233312.58,USA,Urban
567380,183724.85,Brazil,Historical
216206,514928.42,China,Cultural
203208,833812.76,France,Nature
643171,102367.72,USA,Nature
729904,592128.24,Australia,Urban
612356,734669.7,India,Historical
187233,327376.33,India,Historical
51421,813639.46,USA,Urban
809206,845406.99,Egypt,Historical
948817,677101.83,Brazil,Urban
416316,953065.36,India,Adventure
532845,653455.47,Australia,Historical
134577,300908.01,China,Nature
108811,716799.96,Brazil,Nature
891830,580589.59,Brazil,Historical
529208,949503.68,India,Beach
306933,970664.85,France,Beach
385823,797744.95,Brazil,Cultural
439576,673987.28,Australia,Cultural
605601,978220.63,France,Adventure
378630,457782.54,China,Urban
970279,678508.22,India,Urban
604050,215067.35,Egypt,Urban
627649,349213.01,China,Nature
449907,233573.08,India,Nature
963997,253593.62,India,Adventure
643895,794943.4,Egypt,Beach
719256,102022.53,China,Nature
445749,964871.68,Brazil,Historical
131488,894028.52,Egypt,Historical
723043,320505.45,Egypt,Adventure
253299,205784.53,India,Adventure
763013,298655.4,Egypt,Nature
567906,492864.56,USA,Urban
585269,693267.21,China,Cultural
183739,931972.34,Brazil,Adventure
954228,86283.08,USA,Urban
592540,871729.35,Australia,Adventure
885618,615652.86,France,Beach
648709,157333.58,Brazil,Cultural
141737,232726.53,India,Cultural
830607,549960.6,Egypt,Nature
902536,766878.19,Egypt,Urban
888247,276028.92,Egypt,Nature
292994,853906.13,China,Cultural
220748,322142.83,China,Adventure
688347,470851.14,India,Cultural
174716,853223.59,USA,Adventure
182204,718615.88,France,Urban
66726,831875.33,France,Beach
943545,729601.13,France,Urban
10810,726962.02,France,Nature
174738,525300.5,Brazil,Urban
526958,980300.07,USA,Cultural
966079,343508.73,France,Urban
22203,130131.21,France,Nature
600098,731591.98,USA,Cultural
992132,37953.92,India,Historical
452051,889200.61,India,Beach
891428,569456.37,India,Beach
179859,901407.93,India,Beach
525711,728271.09,India,Historical
751989,871300.78,Egypt,Cultural
33190,966191.55,Brazil,Urban
357925,159450.58,Egypt,Historical
171771,26391.71,India,Adventure
143240,795088.98,USA,Cultural
810799,278206.65,France,Nature
576704,449794.59,India,Nature
81953,546387.32,Egypt,Nature
135533,166152.68,France,Cultural
454922,607834.14,China,Adventure
944148,827278.98,Brazil,Historical
318053,548853.69,France,Nature
162855,3905.35,USA,Beach
944396,218276.54,Egypt,Urban
103165,531235.82,India,Historical
335735,388012.43,Brazil,Cultural
35590,302150.44,France,Nature
11506,442307.75,Egypt,Nature
943089,544256.73,Australia,Urban
373092,912600.05,Australia,Historical
232679,139617.71,Brazil,Beach
973574,97431.58,Brazil,Beach
898495,646518.78,France,Beach
451599,5757.07,India,Beach
609767,691065.06,India,Urban
648358,685271.74,Australia,Historical
254373,575333.98,Australia,Urban
976995,904200.15,France,Nature
304685,714906.67,China,Nature
497523,260468.21,Egypt,Beach
957299,24313.86,Egypt,Urban
856673,873094.67,USA,Nature
433305,469077.82,France,Nature
747906,571452.84,Egypt,Urban
281788,850820.21,Egypt,Cultural
293141,114901.7,India,Nature
335641,92401.22,France,Nature
465518,980350.08,China,Cultural
444650,704456.68,Egypt,Urban
891072,493591.41,Australia,Urban
831774,646258.18,France,Nature
207877,655308.72,France,Cultural
770792,683049.68,India,Urban
830846,456110.69,China,Historical
99496,191061.71,Australia,Cultural
479846,737872.51,Brazil,Adventure
139478,894879.29,India,Historical
406443,290384.37,China,Nature
406020,969775.28,India,Beach
973140,640691.87,USA,Adventure
971163,184805.43,China,Nature
68662,980045.77,India,Urban
157709,169551.66,France,Nature
614520,817604.63,Egypt,Adventure
621068,377511.47,Australia,Beach
518767,966347.63,China,Nature
526165,654125.69,China,Beach
352908,898636.61,Egypt,Nature
464005,221612.09,Australia,Beach
759379,424037.54,Egypt,Beach
322065,362613.34,France,Nature
622105,133213.59,China,Cultural
967353,859713.51,China,Adventure
784589,215611.69,USA,Adventure
409010,627540.72,India,Beach
926565,977462.76,Egypt,Nature
86216,344430.58,Egypt,Urban
661613,591719.22,USA,Beach
597686,773225.42,Egypt,Historical
667356,555437.53,Australia,Nature
975351,371583.14,Australia,Cultural
137955,872665.28,USA,Historical
366217,249646.32,France,Adventure
603382,366202.93,Egypt,Beach
220259,110246.77,Brazil,Cultural
306666,16659.03,Egypt,Urban
942376,59627.24,Brazil,Cultural
764939,524243.22,France,Cultural
903545,340032.95,Australia,Cultural
834104,564593.05,India,Nature
481916,254902.23,Brazil,Cultural
800902,924435.68,USA,Historical
912663,44153.59,China,Historical
563339,326390.09,Egypt,Cultural
704125,576887.47,India,Nature
432711,272819.15,USA,Historical
887753,379956.95,India,Nature
629125,643367.97,Australia,Cultural
523925,922601.94,Brazil,Nature
61260,93050.03,India,Cultural
861950,601418.32,USA,Historical
840766,763591.29,China,Urban
5765,526551.28,France,Beach
891563,200582.03,Brazil,Historical
150213,656573.33,Egypt,Beach
859270,361225.99,Brazil,Urban
225075,56487.38,Australia,Cultural
989910,29596.52,China,Adventure
914858,115694.98,France,Nature
852391,808938.32,India,Beach
258256,724674.29,Australia,Cultural
596978,200852.91,Egypt,Adventure
881548,398660.5,Australia,Cultural
591288,858177.18,India,Nature
664706,491560.01,Egypt,Beach
280460,293434.18,Egypt,Historical
315989,976729.25,USA,Adventure
810558,449691.44,China,Historical
826759,817597.03,Brazil,Adventure
188736,936884.95,Australia,Adventure
20839,45636.19,USA,Cultural
476522,875624.28,USA,Historical
8850,366703.62,India,Beach
98635,336661.0,USA,Beach
802477,507590.92,Australia,Adventure
361689,80290.54,Brazil,Nature
866308,296482.22,France,Urban
850934,583480.46,Australia,Historical
365991,506494.33,France,Urban
466757,789459.43,Egypt,Nature
558402,177483.2,France,Adventure
652887,42734.49,Egypt,Urban
219219,959794.3,China,Historical
959124,920135.04,Brazil,Adventure
927255,620072.32,India,Urban
316758,408640.26,USA,Urban
574158,699583.65,China,Cultural
528158,728251.85,India,Nature
491968,5819.3,France,Beach
514371,456150.14,Egypt,Historical
510369,434925.54,Australia,Nature
500562,576476.39,Australia,Historical
415016,93014.26,China,Historical
965130,370955.03,Egypt,Urban
330077,779487.87,Australia,Nature
770892,926075.28,Brazil,Beach
312912,183450.14,USA,Beach
266275,968589.11,Egypt,Historical
780578,25302.42,Australia,Cultural
597282,931505.12,France,Urban
128806,573630.6,France,Historical
382161,373692.97,Egypt,Beach
431104,973532.19,France,Beach
951181,159349.79,India,Adventure
402907,110297.27,Egypt,Historical
260213,555916.92,China,Beach
641719,201085.93,France,Historical
979542,25601.69,Australia,Adventure
866586,642988.3,Egypt,Beach
299923,243877.13,Australia,Beach
544141,7490.22,China,Adventure
722410,58897.88,Egypt,Adventure
775789,36400.82,China,Adventure
278507,883532.06,Australia,Adventure
455132,437751.43,India,Nature
106909,836221.42,Australia,Nature
448433,32105.5,USA,Nature
739277,472448.28,Brazil,Adventure
815546,151283.17,Egypt,Beach
912070,134640.31,Australia,Cultural
352116,458948.92,USA,Cultural
636792,760301.16,China,Nature
386479,488790.84,France,Nature
716519,30561.43,China,Beach
814350,821159.31,Brazil,Adventure
757380,42994.54,USA,Cultural
772850,693284.7,Egypt,Beach
756531,137480.63,USA,Beach
301890,897969.21,Brazil,Adventure
948251,303268.57,France,Urban
860397,149978.76,France,Adventure
454904,324552.07,USA,Cultural
550314,990464.33,France,Nature
587815,35727.17,Brazil,Nature
361527,483057.69,USA,Historical
250548,490471.37,Brazil,Beach
941104,756589.18,China,Adventure
556908,148489.94,India,Beach
294631,413079.34,Egypt,Historical
749694,183650.2,France,Beach
681232,700394.14,USA,Urban
882874,535357.79,Australia,Nature
994920,990405.44,USA,Beach
460224,450856.85,France,Beach
663469,141051.97,India,Urban
394339,736519.07,USA,Nature
107843,562288.35,India,Beach
241149,632389.11,France,Nature
448147,931901.05,India,Cultural
268200,570076.72,France,Historical
389512,451941.74,USA,Cultural
767542,213221.56,Australia,Urban
384854,20209.34,Australia,Nature
457684,981296.37,USA,Historical
394111,811229.2,Australia,Cultural
395172,982003.28,Egypt,Historical
686481,767523.62,USA,Adventure
36675,413835.6,France,Nature
534936,727234.01,India,Adventure
535087,696120.47,India,Urban
982267,403210.45,Brazil,Historical
682440,867365.58,China,Cultural
662497,66438.47,USA,Adventure
295820,350908.09,China,Cultural
919585,240009.68,USA,Adventure
418889,192828.24,India,Cultural
12958,130039.56,China,Historical
817434,542266.67,Egypt,Urban
644446,173104.36,China,Urban
309148,746651.97,Brazil,Urban
66254,178897.63,India,Historical
32479,540373.26,Australia,Historical
954947,891190.1,China,Beach
309730,535544.61,Egypt,Beach
949679,88716.69,USA,Adventure
109472,835528.9,France,Historical
906916,180976.98,China,Historical
339098,586114.95,Australia,Nature
303034,753050.57,China,Cultural
805470,785530.62,India,Nature
669885,838832.52,Brazil,Beach
760108,939112.4,Australia,Adventure
678199,913509.46,USA,Historical
305544,515736.46,USA,Urban
377853,507001.13,China,Nature
669759,308105.74,France,Nature
286677,456334.78,India,Nature
666863,947798.29,Egypt,Beach
857174,948017.59,Egypt,Nature
949111,386634.26,Australia,Cultural
974139,894563.92,Australia,Historical
134191,362542.05,Egypt,Urban
513284,733405.18,India,Cultural
685442,737726.38,Egypt,Historical
355563,395644.35,Australia,Historical
902924,474651.16,Egypt,Urban
438627,232265.59,China,Cultural
761529,927476.87,India,Adventure
505793,621410.85,Australia,Cultural
871566,147560.37,USA,Nature
405890,196419.82,Brazil,Beach
11390,92201.82,USA,Beach
778819,933866.54,China,Nature
484507,849814.23,China,Adventure
409670,706478.13,Egypt,Beach
24231,519457.7,Australia,Nature
265394,249720.49,USA,Nature
94076,104361.01,Egypt,Adventure
702728,841260.31,Brazil,Nature
312726,26462.05,Egypt,Nature
724417,147653.93,India,Nature
98211,185822.12,India,Urban
917996,82012.37,Brazil,Beach
682152,528704.62,Brazil,Urban
443121,533960.69,Australia,Adventure
367694,777184.59,USA,Cultural
825495,340154.37,Australia,Urban
613332,599238.08,Brazil,Adventure
426492,412078.08,France,Beach
614130,503546.63,China,Nature
94253,698430.98,Australia,Cultural
209132,2884.36,Egypt,Nature
568091,531860.01,India,Cultural
670065,446271.06,China,Historical
390747,801647.4,Brazil,Nature
62172,413252.41,Australia,Nature
620458,419500.14,USA,Urban
94854,265154.18,Egypt,Cultural
64417,525921.12,Brazil,Historical
781010,649705.43,Brazil,Adventure
494775,730862.76,USA,Urban
603552,606233.19,Egypt,Adventure
5959,566065.26,USA,Historical
181572,219339.64,Brazil,Nature
53530,374311.56,Australia,Urban
475141,528201.27,Brazil,Urban
584898,970372.04,India,Beach
422100,201984.58,USA,Nature
168548,83306.77,Egypt,Urban
217104,146876.4,China,Adventure
158246,63598.69,France,Adventure
167498,477927.22,Brazil,Adventure
177486,896217.52,Brazil,Cultural
881363,456012.19,USA,Beach
710186,588067.13,Brazil,Historical
551471,848863.02,France,Cultural
587247,621482.94,Egypt,Adventure
762524,917944.62,Egypt,Cultural
982494,531230.84,India,Adventure
339940,847954.96,Brazil,Beach
349724,234473.7,USA,Urban
211646,42551.54,India,Historical
682482,136216.63,Australia,Nature
285769,607395.38,India,Urban
253458,196344.42,France,Urban
515318,230454.13,USA,Beach
457676,849512.69,China,Adventure
102957,962661.67,USA,Nature
413209,781568.56,Egypt,Historical
333110,159151.13,India,Historical
672946,261556.04,China,Cultural
278097,652805.64,India,Adventure
889937,599099.26,India,Urban
345281,141608.2,USA,Urban
392794,147043.64,China,Urban
772542,518678.72,USA,Beach
651620,147860.15,Egypt,Historical
937576,137018.81,Australia,Historical
477425,978982.65,India,Historical
56141,430167.52,USA,Nature
866824,722324.08,Australia,Adventure
447404,84511.27,China,Nature
547639,219384.3,Brazil,Nature
897260,963621.1,USA,Urban
428920,953986.52,Egypt,Cultural
930697,671234.61,India,Historical
414502,934163.16,Egypt,Cultural
152254,755258.34,Australia,Urban
413573,720735.85,Australia,Urban
754717,973494.99,Brazil,Beach
471213,66725.74,Egypt,Adventure
987965,495492.77,Brazil,Cultural
261802,571626.74,USA,Cultural
646602,792421.42,Australia,Beach
640640,677179.72,Brazil,Cultural
331184,606954.68,Egypt,Urban
175899,533119.12,Brazil,Cultural
881914,190482.97,China,Adventure
756717,463065.2,China,Beach
330828,353762.95,Australia,Historical
52076,615050.21,USA,Cultural
780212,136176.96,Egypt,Beach
829684,123394.53,Brazil,Beach
616231,995865.89,France,Beach
893756,349605.37,China,Urban
165750,581097.22,France,Nature
564913,804115.75,USA,Cultural
643949,922027.61,Egypt,Cultural
436032,806433.94,China,Beach
82872,303904.61,France,Urban
139854,456231.17,India,Adventure
986567,712867.54,Brazil,Adventure
672748,688165.62,Australia,Nature
255972,189332.72,France,Historical
205180,872868.88,Brazil,Beach
803306,251790.26,China,Urban
864526,2168.15,Brazil,Adventure
654868,414887.21,Australia,Historical
464910,692646.64,India,Adventure
34221,978212.06,Egypt,Beach
495147,358431.37,Brazil,Adventure
401506,448843.09,India,Cultural
527135,401137.79,Egypt,Cultural
792910,36721.49,France,Adventure
761531,852311.05,USA,Nature
274029,351801.3,China,Beach
938917,280652.79,India,Nature
693833,153339.49,France,Beach
207374,729078.29,Brazil,Urban
212735,875589.77,Egypt,Beach
525322,429098.07,India,Cultural
56460,786213.53,Brazil,Beach
853543,609196.44,Australia,Nature
715595,820139.4,Brazil,Historical
676598,518905.27,Egypt,Beach
81150,810860.91,Brazil,Urban
985836,402630.69,Egypt,Nature
978837,799194.98,Australia,Nature
596724,910693.9,China,Historical
867938,337959.27,Brazil,Urban
742240,741539.29,Australia,Cultural
816715,394202.51,USA,Urban
378858,771907.64,France,Urban
301830,139863.46,China,Urban
649306,456090.06,India,Cultural
483094,270008.59,Australia,Adventure
246516,200350.43,India,Urban
604373,737029.25,Egypt,Nature
258971,673160.12,France,Nature
950241,815232.09,China,Cultural
372091,933035.09,USA,Cultural
997568,425504.43,USA,Adventure
394557,446767.52,Brazil,Nature
24956,845010.48,Australia,Cultural
135742,68056.11,Brazil,Historical
437373,711593.62,Brazil,Beach
217375,735711.81,USA,Nature
802722,676734.06,India,Adventure
452355,958160.8,USA,Adventure
684831,802696.65,Brazil,Nature
844185,218471.23,India,Adventure
243254,42232.35,France,Beach
508901,73773.53,Egypt,Nature
91860,894084.06,China,Nature
997922,608390.07,India,Nature
666921,192300.1,USA,Historical
687563,940847.5,France,Adventure
983227,519473.99,France,Beach
656799,412535.0,USA,Historical
747063,253709.51,France,Beach
450146,538673.19,USA,Urban
464356,226601.51,China,Adventure
908700,268777.94,France,Urban
103907,865577.08,India,Beach
699708,162310.72,Egypt,Nature
839181,338743.5,Brazil,Nature
963791,728400.56,India,Beach
382367,660004.14,China,Nature
98712,11552.07,Egypt,Cultural
239762,934784.56,China,Adventure
767423,457718.38,Egypt,Adventure
481384,676661.04,China,Adventure
753353,200833.6,Egypt,Cultural
53565,771514.45,Brazil,Adventure
29920,197318.16,India,Adventure
27855,856932.71,USA,Urban
260081,574278.29,USA,Historical
368603,719827.9,China,Nature
718589,708612.24,Egypt,Nature
217803,812176.59,India,Nature
183377,387397.94,Australia,Beach
814028,773791.21,Brazil,Urban
828491,181692.23,China,Cultural
568955,194081.06,India,Historical
158909,538120.19,USA,Cultural
429026,983742.81,France,Beach
875130,681184.2,Brazil,Cultural
165759,101293.15,USA,Beach
44726,524574.73,India,Beach
1928,508108.51,Brazil,Nature
174053,533046.83,France,Beach
516936,330124.34,France,Adventure
582872,673718.88,Australia,Beach
208808,377377.58,China,Historical
368877,217400.82,USA,Cultural
310952,109953.0,Egypt,Adventure
778513,933105.81,France,Urban
545381,913059.89,China,Beach
953064,351020.14,USA,Adventure
428751,771313.74,China,Adventure
